Date,Open,High,Low,Close,Adj Close,Volume
2020-07-08,1.879000,1.886000,1.808000,1.824000,1.824000,187548
2020-07-09,1.820000,1.891000,1.772000,1.779000,1.779000,179261
2020-07-10,1.776000,1.835000,1.737000,1.805000,1.805000,166223
2020-07-12,null,null,null,null,null,null
2020-07-13,1.785000,1.815000,1.725000,1.739000,1.739000,158853
2020-07-14,1.729000,1.771000,1.708000,1.746000,1.746000,138354
2020-07-15,1.743000,1.792000,1.728000,1.778000,1.778000,93856
2020-07-16,1.783000,1.808000,1.703000,1.723000,1.723000,136973
2020-07-17,1.726000,1.750000,1.690000,1.718000,1.718000,110717
2020-07-19,null,null,null,null,null,null
2020-07-20,1.700000,1.707000,1.605000,1.641000,1.641000,165622
2020-07-21,1.644000,1.681000,1.622000,1.675000,1.675000,131339
2020-07-22,1.669000,1.698000,1.622000,1.681000,1.681000,118416
2020-07-23,1.694000,1.805000,1.677000,1.785000,1.785000,122590
2020-07-24,1.784000,1.818000,1.746000,1.808000,1.808000,71797
2020-07-26,null,null,null,null,null,null
2020-07-27,1.796000,1.800000,1.714000,1.734000,1.734000,37484
2020-07-28,1.731000,1.803000,1.719000,1.800000,1.800000,32525
2020-07-29,1.796000,1.893000,1.769000,1.854000,1.854000,165738
2020-07-30,1.921000,1.928000,1.818000,1.829000,1.829000,165711
2020-07-31,1.835000,1.862000,1.781000,1.799000,1.799000,112248
2020-08-02,null,null,null,null,null,null
2020-08-03,1.859000,2.154000,1.852000,2.101000,2.101000,381969
2020-08-04,2.097000,2.198000,2.056000,2.193000,2.193000,230889
2020-08-05,2.178000,2.261000,2.163000,2.191000,2.191000,182428
2020-08-06,2.206000,2.284000,2.136000,2.165000,2.165000,161993
2020-08-07,2.153000,2.256000,2.140000,2.238000,2.238000,206250
2020-08-09,null,null,null,null,null,null
2020-08-10,2.257000,2.275000,2.118000,2.153000,2.153000,207909
2020-08-11,2.165000,2.231000,2.135000,2.171000,2.171000,166067
2020-08-12,2.149000,2.165000,2.085000,2.152000,2.152000,175924
2020-08-13,2.151000,2.205000,2.139000,2.182000,2.182000,173306
2020-08-14,2.191000,2.379000,2.171000,2.356000,2.356000,229933
2020-08-16,null,null,null,null,null,null
2020-08-17,2.392000,2.396000,2.302000,2.339000,2.339000,143939
2020-08-18,2.344000,2.465000,2.306000,2.417000,2.417000,141594
2020-08-19,2.417000,2.455000,2.375000,2.426000,2.426000,112840
2020-08-20,2.430000,2.440000,2.345000,2.352000,2.352000,146657
2020-08-21,2.355000,2.468000,2.280000,2.448000,2.448000,134959
2020-08-23,null,null,null,null,null,null
2020-08-24,2.460000,2.554000,2.390000,2.513000,2.513000,101297
